Solvent,Solute,logK,deltaG_solv
CCCCCCCCCCCCCCCC,c1cc(cc(c1)Cl)Cl,4.39,-0.25971
CCCCCCCCCCCCCCCC,CCCCC[N+](=O)[O-],3.82,-0.22599
c1ccc(cc1)C#N,C1CCC=CC1,2.896,-0.17133
CCCCCCCCCCC,[HH],-1.1,0.06508
C/C(=N/C)/O,CCCCCC,2.01,-0.11891
CC(C)CC(C)(C)C,c1ccc(cc1)N,3.811,-0.22546
CCCCOCCCC,C(Cl)(Cl)(Cl)Cl,3.05,-0.18044
Cc1cccc(c1)C,FS(F)(F)(F)(F)F,-0.142,0.0084
CCCCCCC,CCCCCCCCC,4.45,-0.26326
CCCCCCCCCCCCCCCC,C(C(Cl)(Cl)Cl)Cl,3.55,-0.21002
CC(C)O,[N-]=[N+]=O,0.32,-0.01893
C1CCC(=O)OCC1,CCCO,3.549,-0.20996
c1ccc(cc1)N,CCCCCC=C,2.376,-0.14056
CCCCCl,Cc1ccccc1,3.776,-0.22339
CC(C)CC(C)(C)C,[Ne],-1.17,0.06922
c1ccc(cc1)[N+](=O)[O-],CCC1CCCCC1,3.244,-0.19191
CCCCCCCCCCCCCCCC,CCBr,2.02,-0.1195
c1ccc(cc1)C#N,CCBr,2.498,-0.14778
CCCO,C1COCCO1,3.27,-0.19345
C1CCOC1,CCCC(C)C,2.7,-0.15973
CCCCCCCCCCCC,CCCCCCCCC,4.25,-0.25143
CCCCCCCCO,CCl,1.39,-0.08223
CC(C)(C)O,CC(C)CO,4.36,-0.25793
CCCCCCCCCCCCCCCC,C=C(Cl)Cl,2.11,-0.12483
CCCCCCCCCC,c1ccc(cc1)Cl,3.613,-0.21374
CCCC#N,CCO,3.005,-0.17777
CCCCCCCCCC,CC(=O)C,1.81,-0.10708
CCCCCO,[He],-1.63,0.09643
C1COCCO1,C(C(F)(F)F)O,4.13,-0.24433
CCCCCCCCCCCCCCCC,CNC,1.6,-0.09465
CCCCCCCC,CCCCCOC(=O)C,3.972,-0.23498
CCCCCC,FS(F)(F)(F)(F)F,0.295,-0.01745
CCCCCCC,CCCCCCCC,3.92,-0.2319
CC(C)O,C(Cl)Cl,2.29,-0.13547
CCCCCCC,CC(C)O,1.91,-0.11299
CCC(=O)C,CCC(C)O,3.8,-0.22481
CCCCO,CCCCC,1.98,-0.11714
CC(C)O,c1ccc(cc1)CBr,4.53,-0.26799
CCO,[N-]=[N+]=O,0.45,-0.02662
CCCCCCCCCC,CCCC(C)C(C)O,3.861,-0.22841
C1CCC(=O)CC1,CCCCCCC,2.947,-0.17434
CCO,CC,0.44,-0.02603
CC1COC(=O)O1,CCC(=O)C,3.18,-0.18813
C1COCCO1,CCCC,1.56,-0.09229
CCCCCCCCCCCCCCCC,N,0.269,-0.01591
C[N+](=O)[O-],CCO,2.845,-0.16831
CCCCCCCCCCCCCCCC,Cc1cccnc1,3.603,-0.21315
C(Cl)(Cl)(Cl)Cl,C1CCC(=O)C1,3.87,-0.22895
CCOCC,C,0.02,-0.00118
Cc1ccc(cc1)C,C(Cl)Cl,2.602,-0.15393
CC(=O)N(C)C,C(Cl)(Cl)(Cl)Cl,3.31,-0.19582
CCCCCO,CC1CCCC1,2.57,-0.15204
CC1COC(=O)O1,CC(C)(C)Cl,2.03,-0.12009
CC(=O)C,C(C(F)(F)F)(Cl)Br,3.5,-0.20706
CCCCC,CCC,1.33,-0.07868
CC(C)OC(C)C,CCCCCCCC,3.843,-0.22735
CC(=O)C,c1ccc(cc1)Cl,4.14,-0.24492
c1ccncc1,CC(C)CC(C)C,2.472,-0.14624
C(Cl)(Cl)Cl,C(=O)O,3.21,-0.1899
CCOc1ccccc1,Cc1ccccc1,3.703,-0.21907
CC(C)OC(C)C,C[N+](=O)[O-],2.806,-0.166
C(Cl)(Cl)Cl,CC(C)CC(C)C,3.042,-0.17996
CN1CCCC1=O,CCCC,1.14,-0.06744
CC(=O)C,CC(C)C(C)C(C)C,3.03,-0.17925
c1ccc(cc1)Cl,CCCCC(=O)C,4.28,-0.2532
C(Cl)(Cl)(Cl)Cl,C1CCCCCCCCC1,5.436,-0.32159
C1CCOC1,CC(C)(C)Cl,2.5,-0.1479
CCCCCCCCCCCCCCCC,c1ccc(cc1)CBr,4.66,-0.27568
CCCCCCCCCC,CC(C)CCC(C)O,3.827,-0.2264
CCCCCCCCCO,O=O,-0.78,0.04614
CCCCCCCCCCO,N#N,-1.067,0.06312
Cc1ccc(cc1)C,CC(=O)C,2.485,-0.14701
C(Cl)(Cl)(Cl)Cl,CCCCCO,3.748,-0.22173
CCCCCCCCCCCC,c1ccc(cc1)[N+](=O)[O-],4.45,-0.26326
CCCCCCO,CCC(=O)C,2.842,-0.16813
CCCCCCCCCCCCCCCC,CC(C)CCO,3.011,-0.17813
C(Cl)(Cl)Cl,c1ccc(c(c1)[N+](=O)[O-])O,5.89,-0.34845
Cc1ccc(cc1)C,C#C,0.59,-0.0349
C(Cl)(Cl)Cl,[He],-1.542,0.09122
C(Cl)(Cl)Cl,c1ccc(cc1)[N+](=O)[O-],5.71,-0.3378
Cc1ccccc1,CCO,2.202,-0.13027
c1ccc(cc1)Cl,CC(C)CO,3.12,-0.18458
CCCCCC,CC(C)C,1.71,-0.10116
CC(C)CC(C)(C)C,[Kr],0.071,-0.0042
CCCCCC,CC=C,1.286,-0.07608
CC1COC(=O)O1,C,-0.6,0.0355
CC(C)OCCO,CCCCOC(=O)C,3.71508841413,-0.21978
CCCCCCC,c1ccc(cc1)N,3.943,-0.23327
c1ccc(cc1)Br,CCCCOCCO,4.45,-0.26326
CO,CNC,2.57,-0.15204
CCCCCCC,CCC(=O)OC,2.659,-0.1573
CCCCOCCO,CC(C)(C)Cl,2.42,-0.14317
CCCCCCO,O=O,-0.72,0.04259
C/C(=N/C)/O,COC=O,2.31,-0.13666
CC(C)(C)OC,CC(C)(C)O,3.2,-0.18931
CCCCCC,C(Cl)(Cl)(Cl)Cl,3.03,-0.17925
CCCCCCCCCCCCCCCC,CCCCC#N,3.057,-0.18085
CCCCO,C=CC=O,2.35,-0.13902
CCCCCCCCCCCCCCCC,CCCO,2.097,-0.12406
CCCCCCCCCC,CCC(C)(C)O,2.922,-0.17286
CCCCCCCCC,CC(C)C(C)C(C)C,3.57,-0.2112
Cc1ccc(cc1)C,CCBr,2.502,-0.14802
CCCCCCC,CC(C)(C)Cl,2.48,-0.14672
CC(C)O,CCC,0.89,-0.05265
CCCCCC,C1CCC(=O)CC1,3.65,-0.21593
C(Cl)(Cl)Cl,Cc1ccccc1[N+](=O)[O-],6.02,-0.35614
CCCCCl,II,4.134,-0.24456
CC(C)CO,C/C=C\C,1.62,-0.09584
CCOCCO,CCCCCCCCCC,3.81,-0.2254
CCCCCCCCCCCO,FS(F)(F)(F)(F)F,-0.361,0.02136
C1COCCO1,C=C,0.43,-0.02544
CCCCOC(=O)C,CCCCCO,4.6,-0.27213
Cc1ccccc1,CCCC(=O)C,3.679,-0.21765
CCCCCC,C(F)(F)(F)F,-0.364,0.02153
CCCCCl,CCC(C)O,3.06,-0.18103
CCCCCC,[He],-1.32,0.07809
CCCOCCO,Cc1ccccc1,3.44932955994,-0.20406
CCCOCCC,CCCO,3.081,-0.18227
CCC(=O)C,CC(=CC(C)(C)C)C,3.22,-0.19049
C1CC(=O)OC1,C(=O)=O,0.44,-0.02603
CCCCCCC,CCC1CCCCC1,3.94,-0.23309
CCCCCCCCCCCCCCCC,C1CC1,1.314,-0.07774
c1(c(c(c(c(c1F)F)F)F)F)F,CCO,2.041,-0.12074
CC1COC(=O)O1,CCCCCCCCCC,2.97,-0.1757
CC(=O)C,[Ar],-0.52,0.03076
CCCCCO,Cc1ccccc1C,3.8,-0.22481
CC(C)CCO,COC,1.457,-0.0862
CCCCC,CC(=C)C,1.82,-0.10767
CCCCCCCCCCCCCCCC,C=O,0.73,-0.04319
CCC(=O)C,CC=C,1.13,-0.06685
CCCCCCCCC,[Kr],-0.012,0.00071
C(=O)N,CC(C)c1ccccc1,2.48,-0.14672
CO,C(C(F)(F)F)O,4.19,-0.24788
C(Cl)(Cl)(Cl)Cl,CNc1ccccc1,4.84,-0.28633
CN1CCCC1=O,CCCCCCCCC,3.14,-0.18576
CCCCCCCCCCCCCCCC,CCCCC=C,2.547,-0.15068
C1COCCO1,C[Sn](C)(C)C,2.52,-0.14908
CCCCCCCCCCC,C=CC#N,1.43,-0.0846
CCCCCO,C(=S)=S,2.43,-0.14376
CC(C)CC(C)(C)C,[HH],-0.939,0.05555
C1CCC(=O)CC1,C(Cl)(Cl)(Cl)Cl,3.167,-0.18736
CCCCCCCCCCCCCCCC,CCCC(=O)CCC,3.82,-0.22599
CN1CCCC1=O,C1CCC=CC1,2.71,-0.16032
CCCCCCCCCCCCCCCC,CCC(C)O,2.338,-0.13831
C1CC(=O)OC1,CC(C)CCC(C)C,2.078,-0.12293
CCCCCCCCO,C(=O)=O,0.16,-0.00947
C(=S)=S,CC(C)CCC(C)C,3.606,-0.21333
Cc1ccccc1,C(F)(F)(F)Cl,0.303,-0.01793
CCCCC,[Xe],0.72,-0.04259
CCCO,CC=C,0.99,-0.05857
CC(C)CC(C)(C)C,CCc1ccccc1,3.882,-0.22966
CCCCCCCCCCCCCCCC,CCCCC#C,2.51,-0.14849
CCCCCCCCCCCC,CC(C)C(C)C(C)C,3.47,-0.20528
CCCCCCCCO,CCCCCCO,5.18,-0.30645
c1ccc(cc1)F,[Kr],-0.06,0.00355
C(Cl)(Cl)(Cl)Cl,CCCC(=O)O,3.52,-0.20824
CCCCCCCCCCCCCCCC,Cc1ccc(cc1)C,3.858,-0.22824
C(Cl)(Cl)(Cl)Cl,CCCCOCC,3.6,-0.21297
CCCCCCCCCCCCCCCC,c1ccc(cc1)CCl,4.29,-0.25379
CCCCCCCC,CC(C)CC(C)(C)C,3.27,-0.19345
CC(=O)O,CCC,0.699,-0.04135
CCCCCCCCCCCC,CCC(CC(C)C)CO,4.09,-0.24196
CC(=O)OC,C,-0.224,0.01325
CN1CCCC1=O,C(F)(F)(F)F,-1.32,0.07809
C(CCl)Cl,CCC(=O)c1ccccc1,6.41,-0.37921
C1CC(=O)OC1,CCC(=O)C,3.283,-0.19422
C(Cl)Cl,CCCCCCC,3.266,-0.19321
C=CCO,CCCl,1.91,-0.11299
CC1COC(=O)O1,Cc1ccc(cc1)C,3.54,-0.20942
C(Cl)(Cl)(Cl)Cl,C=CCCC=C,2.9,-0.17156
C1CCC(=O)CC1,CCN(CC)CC,3.014,-0.17831
CC(C)(C)O,CC(C)(C)Cl,2.16,-0.12778
C(Cl)(Cl)(Cl)Cl,CC(C)[N+](=O)[O-],3.35,-0.19818
CCCCCCC,c1ccc(cc1)F,3.027,-0.17908
CCCCCCCO,c1ccccc1,2.81,-0.16624
CCCCCCCCCO,[He],-1.743,0.10311
C1COCCO1,CCCCCC,2.33,-0.13784
CC(=O)OC,CC(C)O,3.27,-0.19345
C(Cl)(Cl)(Cl)Cl,CCCCl,2.71,-0.16032
CCCCCCCCO,CCCCC=C,2.41,-0.14257
CCCCO,CC=C,1.03,-0.06093
CCCCCCCCO,CCCC,1.53,-0.09051
C(Cl)Cl,CCCCCCCCC,4.212,-0.24918
CCCCCCC,CCC(C)(C)OC,3.108,-0.18387
C(Cl)(Cl)Cl,CI,2.78,-0.16446
CCCCCCC,CC(C)C=C,2.17,-0.12838
C(Cl)(Cl)Cl,CCCC(C)(CC)O,5.014,-0.29662
C1CCC(=O)CC1,CC(=O)C,2.789,-0.165
C1COCCO1,C1CCCCC1,2.65,-0.15677
Cc1ccc(cc1)C,CC=C,1.161,-0.06868
CO,CCCCC(=O)C,3.82,-0.22599
CCCCCCCCO,CCCc1ccccc1,4.09,-0.24196
C(Cl)(Cl)(Cl)Cl,COC(=O)OC,3.119,-0.18452
c1ccncc1,N#N,-1.122,0.06638
CC(=O)N(C)C,C1COCCO1,3.66,-0.21652
CCCC(C)O,CCC=C,1.47,-0.08696
CO,CCCCCC(=O)OC,4.28,-0.2532
CO,C(Cl)Cl,2.55,-0.15086
CCCCOCCCC,N#N,-0.68,0.04023
CCOCCO,C=CCCCCC=C,3.2,-0.18931
C(=O)N,CCCCCO,4.14,-0.24492
C1COCCN1C=O,CCCOC(=O)C,3.24,-0.19168
CCN(CC)CC,CC(C)CCC(C)C,3.583,-0.21197
CC(C)(C)O,c1ccncc1,3.96,-0.23427
CC(C)CC(C)(C)C,CCCC(=O)C,3.034,-0.17949
CCCCCCCCCCCCCCCC,CCCC(=O)OCC,3.379,-0.1999
CCCCCCCCO,CCCCOCCCC,3.89,-0.23013
CCCCC,C1COCCO1,2.96,-0.17511
Cc1ccc(cc1)C,CCCCCCCCCCCCCCCCCCCCCCCCCCCC,14.167,-0.83811
CCCCCO,[Xe],0.39,-0.02307
CN(C)C=O,C(C(F)(F)F)(F)F,1.13,-0.06685
CCO,C,-0.29,0.01716
c1ccc(cc1)C#N,c1cc2ccc3cccc4c3c2c(c1)cc4,9.6,-0.56793
CCCCCCCCCCC,C(=C(Cl)Cl)(Cl)Cl,3.23,-0.19108
C(CCl)Cl,CC(=O)N(C)C,5.31,-0.31414
CC(=O)C,c1ccccc1,3.21,-0.1899
CO,CCCOCCC,2.89,-0.17097
C1CCOC1,CCOCC,2.57,-0.15204
CCO,[Kr],-0.16,0.00947
CCCCCCC,CCOCCO,2.82,-0.16683
CN(C)C=O,CCC(C)(C)OC,2.77,-0.16387
CC(=O)OC,CC(C)CC(C)C,2.574,-0.15228
CCCCCCCCCC,CCC(C(C)C)O,3.421,-0.20238
CCCCCC,CCc1ccccc1,3.922,-0.23202
CCCCOP(=O)(OCCCC)OCCCC,CCOC(=O)C,2.89,-0.17097
C/N=C/O,Cc1ccccc1C,3.68,-0.21771
CCCCCCCCCC,CCCCO,2.763,-0.16346
CCCCO,CC(C)C(C)C,2.25,-0.13311
CCc1ccccc1,C(Cl)(Cl)(Cl)Cl,3.105,-0.18369
C1COCCN1C=O,CC(C)c1ccccc1,3.87,-0.22895
Cc1ccc(cc1)C,CC(C)C=C,2.43,-0.14376
CN(C)C=O,CCC(=O)C,3.36,-0.19878
C1CCC(=O)OCC1,CCCCCCC=C,2.923,-0.17292
CCCCCCCO,CCCC#N,3.17,-0.18754
CCCCCO,CCOCC,2.29,-0.13547
CCCCCCCC,CCN,1.504,-0.08898
Cc1cccc(c1)C,CCCCO,3.209,-0.18984
CC(C)CC(C)(C)C,C,-0.054,0.00319
CCCCCCCCCCCCCCCC,Cc1ccc(cc1)[N+](=O)[O-],5.02,-0.29698
C1COCCO1,C(=C(Cl)Cl)Cl,3.6,-0.21297
C1CCC(=O)OCC1,Cc1ccccc1,3.504,-0.20729
CCCCCCCCCCCC,[He],-1.57,0.09288
CCCCCCC,CC=C,1.276,-0.07549
Cc1ccccn1,C[N+](=O)[O-],3.576,-0.21155
CCCCCO,CC(C)C,1.31,-0.0775
C1COCCO1,C(Cl)Cl,3.0,-0.17748
CO,CCCCCC,2.05,-0.12128
c1ccc(cc1)Cl,CC(C)CC(C)C,3.11,-0.18399
Cc1ccccc1,CCC1CCCCC1,3.918,-0.23179
CCCCO,CC(C)C=C,1.83,-0.10826
CC(=O)C,CCOCC,2.38,-0.1408
Cc1ccc(cc1)C,CCI,3.034,-0.17949
CCCCCCCCCCCCCCCC,CCCCCCl,3.223,-0.19067
CCCCCCCCCCC,CCCCCCCCCCCC,6.0,-0.35496
CCCCO,C=CC=C,1.55,-0.0917
C(CCl)Cl,CCOCC,2.55,-0.15086
C(Cl)(Cl)(Cl)Cl,Cc1ccncc1,4.46,-0.26385
C1CCCCCCC1,C(=O)=O,0.096,-0.00568
CC1COC(=O)O1,C1CCCCC1,1.95,-0.11536
CN(C)C=O,[C-]#[O+],-1.06,0.06271
C(CCl)Cl,C(=S)=S,2.41,-0.14257
CC1CCCCC1,[Kr],0.04,-0.00237
C(Cl)(Cl)(Cl)Cl,c1ccc(cc1)O,4.55,-0.26918
CCCCCCCCCCCCCCCC,c1ccc(cc1)I,4.58,-0.27095
c1ccc(cc1)Cl,CCCO,2.82,-0.16683
C/C(=N/C)/O,CCOCC,2.03,-0.12009
CCCCCCCC,CCOCC,2.235,-0.13222
C(CCl)Cl,C1CCC(=O)CC1,4.97,-0.29402
C1CCOC1,CC(C)O,3.44,-0.20351
CCCCOP(=O)(OCCCC)OCCCC,C[C@H]1CC[C@H](CC1)C,3.34,-0.19759
c1ccc(cc1)C#N,C=C,0.3299,-0.01952
CC(C)(C)O,CCCCBr,3.0,-0.17748
c1ccc(cc1)Cl,[C-]#[O+],-0.78,0.04614
CC(C)CC(C)(C)C,Cc1ccccc1O,4.163,-0.24628
c1ccc(cc1)Cl,C1CCCCC1,3.23,-0.19108
COc1ccccc1,CCCC(C)C,2.317,-0.13707
CC(=O)c1ccccc1,CCI,2.926,-0.1731
CC[N+](=O)[O-],CCC(=O)C,3.514,-0.20789
CCCCCCCCCCCCCCCC,CCCN,2.141,-0.12666
CCCCCl,CC(C)(C)O,2.798,-0.16553
CCOC(=O)C,CCNCC,2.75,-0.16269
C1CC(=O)OC1,CCC1CCCCC1,2.656,-0.15713
C/C(=N/C)/O,CCCOC(=O)C,3.33,-0.197
c1ccc(cc1)Br,CC(C)(C)Cl,2.52,-0.14908
CCCCCCCCCC,CCCc1ccccc1,3.837,-0.22699
c1ccncc1,CCCC=C,1.98,-0.11714
CCCCCCC,[Ar],-0.379,0.02242
Cc1ccc(cc1)C,ClCl,1.535,-0.09081
CCCCCCCCCCCCCCCC,CCCCCCCCCCO,5.628,-0.33295
C/N=C/O,O,3.87,-0.22895
CCCCCCCCCCCCCCCC,CCCCCCCC(=O)C,4.755,-0.2813
CCC(C)CO,CC(C)C,1.32,-0.07809
CCCCCCCCCCCCCCCC,CCCCN,2.618,-0.15488
C/C(=N/C)/O,CC(C)CO,4.33,-0.25616
c1ccc(cc1)Br,CCOCC,2.81,-0.16624
C1CCC(=O)OCC1,CCC(C)(C)OC,2.742,-0.16221
CO,CC(C)(C)OC,2.77,-0.16387
CC(=O)OC,C(Cl)Cl,2.953,-0.1747
c1ccc(cc1)Br,CCCCCCO,4.37,-0.25853
C/N=C/O,CCCCCCCC,2.43,-0.14376
C(Cl)(Cl)Cl,CCCCCCCC(=O)O,6.61,-0.39104
CCCCO,[Xe],0.4,-0.02366
c1ccc(cc1)Br,[HH],-1.3,0.07691
c1ccc(cc1)Br,Cc1ccc(cc1)O,5.22,-0.30881
CCO,[Rn],0.75,-0.04437
CCCCOC(=O)C,CCCC(C)C,2.493,-0.14748
CC(=O)c1ccccc1,CN(C)C,1.8,-0.10649
CCCCCCCCCC,CCCC,1.786,-0.10566
CCCCCCCCCCCC,CCCCCC,2.73,-0.16151
C(=O)N,C(Cl)(Cl)Cl,2.13,-0.12601
C/C(=N/C)/O,C1CCOC1,2.84,-0.16801
C(Cl)(Cl)Cl,CCCC(C(C)C)O,5.15,-0.30467
C(Cl)(Cl)(Cl)Cl,[N]=O,-0.445,0.02633
C(=S)=S,CCCC(C)C,2.783,-0.16464
CC1COC(=O)O1,C=CC=C,1.44,-0.08519
C(I)I,[Ar],-1.46,0.08637
CC(C)(C)OC,CCCO,3.37,-0.19937
CN(C)C=O,CCCC=C,1.7,-0.10057
CC(=O)N(C)C,CCOC(=O)C,3.05,-0.18044
CCOCCO,CCC(=O)OCC,3.36,-0.19878
CCC(=O)C,CCCCC,2.07,-0.12246
C(Cl)(Cl)Cl,CC(=O)C,3.29,-0.19463
C1CCOC1,CC(C)CC(C)(C)C,3.41,-0.20173
Cc1cccc(c1)C,CCC,1.19,-0.0704
C(Cl)(Cl)(Cl)Cl,CC(C)CC(=O)O,3.94,-0.23309
CC(C)O,CCN(CC)CC,3.31,-0.19582
Cc1ccccc1C,CCCl,2.099,-0.12418
C(Cl)(Cl)(Cl)Cl,Cc1ccc(o1)C=O,4.69,-0.27746
CCCCCC,CC(C)CO,2.621,-0.15506
CCCCCCCCCCCCCCCC,CC(=O)O,1.75,-0.10353
Cc1ccc(cc1)C,CCCCC,2.303,-0.13624
c1ccc(cc1)CO,CCCCCC,1.965,-0.11625
CCOC(=O)C,C/C=C/C,2.03,-0.12009
C(=O)N,CCCCCOC(=O)C,3.17,-0.18754
C(Cl)(Cl)Cl,C1CCC(CC1)O,5.13,-0.30349
CN1CCCC1=O,CCC1CCCCC1,3.07,-0.18162
CCCCO,CC(=O)O,4.35,-0.25734
CCCCCCC,CCC,1.301,-0.07697
CCCCCCCC,c1cc(oc1)C=O,3.13,-0.18517
CC(=O)c1ccccc1,CCCCCCCCC,3.579,-0.21173
c1ccc(cc1)Br,CCl,1.59,-0.09406
CC1CCCCC1,N#N,-0.74,0.04378
CCC(C)O,C1CCCCC1,2.67,-0.15796
C1COCCO1,C,-0.41,0.02426
c1ccc(cc1)C#N,CCC1CCCCC1,3.33789476175,-0.19747
CCO,N,2.01,-0.11891
CC(C)(C)O,CCCOCCC,3.03,-0.17925
CCO,[Ar],-0.58,0.03431
CN(C)C=O,CCCC(C)C,1.84,-0.10885
CC(C)(C)O,Cc1ccccc1,3.23,-0.19108
C(I)I,Cc1ccc(cc1)Cl,4.0,-0.23664
CCCCCCCCCCCCCCCC,c1ccc2ccccc2c1,5.34,-0.31591
CN1CCCC1=O,CC(C)(C)Br,2.52,-0.14908
COc1ccccc1,CC(C)CCC(C)C,3.069,-0.18156
CCCCO,c1(c(c(c(c(c1F)F)F)F)F)F,2.54,-0.15026
CC(C)CC(C)(C)C,CCCCCC,2.862,-0.16931
CC(C)CO,O=O,-0.65,0.03845
CCCCCC,CCC(CC)(CC)CC,4.31,-0.25498
CC1CCCCC1,[Ne],-1.36,0.08046
CCCCOP(=O)(OCCCC)OCCCC,C1COCCO1,3.246,-0.19203
CCC(=O)C,CCCCCCCC,3.45,-0.2041
CCOC(=O)C,CCC#N,3.43,-0.20292
CCCCCCCCCCCC,CCCCCC(=O)CC(=O)C,5.29,-0.31295
CCCCO,C(F)(F)(F)F,-0.81,0.04792
CCCCCCCCCCCC,C1CCCC1,2.47,-0.14612
CO,CC(C)(C)c1ccccc1,4.05,-0.2396
CC1COC(=O)O1,CC(C)(C)Br,2.43,-0.14376
C/N=C/O,CCO,3.56,-0.21061
c1ccc(cc1)I,[He],-2.08,0.12305
CC(C)OCCO,c1ccc(cc1)Cl,3.9185316762,-0.23182
c1ccncc1,CCCCC,1.92,-0.11359
CCC(C)O,CCC=C,1.46,-0.08637
CCCC#N,C[N+](=O)[O-],3.713,-0.21966
CCCCCC,C1CCCC1,2.71,-0.16032
CCCCCCCCCCCCCCCC,C(=C(Cl)Cl)Cl,2.997,-0.1773
CC(=O)C,CCC,1.0,-0.05916
CC(=O)N(C)C,CC(C)C=O,2.96,-0.17511
CCN(CC)CC,Cc1ccccc1,3.586,-0.21215
CCCO,C,-0.29,0.01716
CC(=O)O,CCCCC,1.509,-0.08927
CCCCCCC,c1ccccc1,2.91,-0.17215
c1ccc(cc1)N,C[N+](=O)[O-],3.687,-0.21812
CC(C)O,[Kr],-0.16,0.00947
c1ccc(cc1)Cl,CC,0.59,-0.0349
CCCCOCCCC,CCCC,1.79,-0.1059
CCCCCC,CC(=O)C(C)(C)C,3.181,-0.18819
CCCCCCCCCCCO,C(F)(F)(F)F,-1.017,0.06017
CCCCO,Cc1cccnc1,4.7,-0.27805
C1COCCO1,c1ccccc1,3.32,-0.19641
CN(C)C=O,CCCCCCCCC=C,3.75,-0.22185
C1COCCO1,CCO,3.16,-0.18694
CC(C)(C)OC,COC(=O)OC,3.11,-0.18399
C1CCC(=O)OCC1,CCO,3.135,-0.18546
Cc1ccc(cc1)C,CCOC(=O)C,3.083,-0.18239
CN1CCCC1=O,S,1.65,-0.09761
CN(C)C=O,c1ccc(cc1)I,5.2,-0.30763
CC(C)CO,CCO,3.51,-0.20765
C(Cl)(Cl)Cl,Cc1cccnc1,5.39,-0.31887
CC(=O)N(C)C,CCCCCCCC,2.89,-0.17097
CC(=O)O,C1CCCCC1,2.357,-0.13944
COc1ccccc1,CC(C)C(C)C(C)C,3.169,-0.18748
CCCCCCCC,CCCCCC(=O)C,3.848,-0.22765
CN(C)C=O,C/C=C/C=C,2.23,-0.13193
CCCCCC,[C-]#[O+],-0.483,0.02857
CC1CCCCC1,COC(=O)OC,2.65,-0.15677
CC1CCCCC1,CC(C)(C)O,2.56,-0.15145
C(=O)N,c1ccc(c(c1)Cl)Cl,3.33,-0.197
CN(C)C=O,CC(C)OC(C)C,2.34,-0.13843
C1COCCO1,CC#C,1.8,-0.10649
C(=S)=S,C1CCCCC1,3.285,-0.19434
CCCCCCCCCCCCCCCC,CC(C)C=O,2.06,-0.12187
CCOCCO,CC1CCCCC1,2.78,-0.16446
CC(CO)O,CCC1CCCCC1,2.333,-0.13802
C1CCC(=O)OCC1,CC(C)(C)OC,2.312,-0.13678
C(Cl)(Cl)(Cl)Cl,c1ccc(c(c1)Cl)Cl,4.98,-0.29461
CC(=O)OC,CCC#C,2.22,-0.13133
CC(C)OC(C)C,Cc1ccccc1,3.567,-0.21102
CCCCCCCC,c1ccccc1,2.9,-0.17156
CCCCCCCCCCCO,C,-0.411,0.02431
C1CCOC1,CC(C)C(C)C(C)C,3.59,-0.21238
c1ccc(cc1)N,CCOC(=O)C,3.183,-0.1883
CC(=O)O,C/C=C/C,1.672,-0.09891
Cc1ccc(cc1)C,C/C=C\C,1.87,-0.11063
C(Cl)(Cl)Cl,CCCCO,3.88,-0.22954
C(Cl)(Cl)(Cl)Cl,CCCCCCC,3.48,-0.20587
Cc1ccccc1,[He],-1.65,0.09761
CC(=O)c1ccccc1,CC(C)C(C)C(C)C,2.874,-0.17002
CCC(C)O,[Rn],0.82,-0.04851
CCCCCCCCO,[Ar],-0.71,0.042
CCCCCCCCO,C1CCC(CC1)O,5.18,-0.30645
CCO,CCBr,2.22,-0.13133
C1COCCO1,C(=O)=O,0.85,-0.05029
C1CC(=O)OC1,CCCCC,1.314,-0.07774
C1CCOC1,CCN(CC)CC,3.37,-0.19937
C(Cl)(Cl)Cl,c1cc(cc(c1)O)[N+](=O)[O-],7.56,-0.44724
C/C(=N/C)/O,CCc1ccccc1,3.7,-0.21889
CN1CCCC1=O,C/C=C\C=O,3.66,-0.21652
CO,CCCC#N,3.82,-0.22599
CCCCCC,CC(C)(C)Cl,2.51,-0.14849
C(Cl)(Cl)(Cl)Cl,CC(C)(C)CCO,3.993,-0.23622
CCOCCO,CCCOC(=O)C,3.45,-0.2041
CN(C)C=O,CC(=O)C,2.95,-0.17452
CCOC(=O)C,CCCCC,2.09,-0.12364
C(Cl)(Cl)(Cl)Cl,CCCCC(=O)C,4.01,-0.23723
CCCCOCCCC,CO,1.94,-0.11477
CCCCCCCCCCCCCCCC,C1CCC(CC1)O,3.671,-0.21717
CCCCCCCCC,CCCC,1.808,-0.10696
CCCCCC,CN(C)C,1.926,-0.11394
CC(=O)c1ccccc1,CC(C)CC(C)C,2.305,-0.13636
CCCCCCC,Cc1ccc(cc1)N,4.5,-0.26622
CN1CCCC1=O,C(F)(Cl)Cl,0.98,-0.05798
CCCCCCCCCCCC,CCCC(CC)(CC)O,4.2,-0.24847
CCC(=O)C,CC(C)CO,3.98,-0.23545
CCCCCCCCO,CCCC(=O)OCC,3.56,-0.21061
C(Cl)(Cl)(Cl)Cl,N#N,-0.79,0.04674
CC(=O)OC,[HH],-1.036,0.06129
CCCCCCCCCCCCCCCC,CN(C)c1ccccc1,4.754,-0.28124
CCN(CC)CC,C1COCCO1,3.156,-0.18671
c1ccc(cc1)CO,CCCCCCCC,2.785,-0.16476
CCCCCC,CCC=C,1.826,-0.10802
CN(C)C=O,C(F)(Cl)(Cl)Cl,1.85,-0.10944
